State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Colorado,2014,Colorado2014,"43,772.00","367,023.01",14.50,3.26,3.09,9.62,17.95,20.94,7.16,17.55,74.04,17.91,28.89,19.19,73.37,167.27,57.66,,6.67,21.38,12.66,16.43,,6.68,9.87,14.16,,51049,21.07,16.52,1.50,2.05,1.24,0.11,19.47,75.43,48.09,58.68
Connecticut,2014,Connecticut2014,"31,214.00","42,146.40",10.51,3.01,3.06,7.55,15.59,25.03,8.01,21.08,92.67,18.71,34.32,9.69,73.32,259.91,68.00,,7.61,12.78,10.48,16.78,,8.53,4.53,11.49,,67760,20.94,15.41,6.49,0.50,3.55,0.09,10.85,77.22,50.83,24.17
Delaware,2014,Delaware2014,"10,535.00","22,370.08",13.43,3.43,3.37,8.51,19.13,29.77,8.03,25.03,81.97,18.53,39.99,10.65,63.33,167.08,69.81,,6.75,20.57,11.90,16.01,,10.57,5.41,14.20,,55684,21.91,17.29,19.94,0.81,2.79,0.10,8.36,66.30,51.61,24.29
District of Columbia,2014,District of Columbia2014,"7,246.00","8,239.14",12.20,2.90,2.90,10.50,15.70,21.50,8.00,17.50,100.00,19.60,32.17,6.98,113.87,393.53,63.93,,8.31,29.30,12.65,21.98,,8.20,0.95,11.63,,66326,17.24,11.36,47.93,0.56,3.87,0.15,10.14,35.78,52.63,0.00
Florida,2014,Florida2014,"218,932.00","536,263.97",18.75,4.29,4.06,8.51,20.39,29.94,6.74,26.41,74.44,14.80,33.64,22.40,51.30,82.31,63.87,,7.25,28.99,11.46,18.60,,11.88,8.30,15.26,,42896,20.04,19.86,14.27,0.72,1.65,0.10,13.20,68.89,48.60,37.50
Georgia,2014,Georgia2014,"110,837.00","1,390,290.74",19.15,4.08,3.70,10.19,21.16,31.35,6.40,28.12,55.82,13.97,24.69,21.39,47.53,56.91,60.08,,9.23,33.24,12.83,16.43,,12.43,7.22,12.84,,40594,23.48,15.21,27.73,0.48,1.25,0.11,6.18,63.28,50.30,60.49
Hawaii,2014,Hawaii2014,"12,437.00","23,670.15",14.43,3.10,2.93,7.95,16.10,22.94,7.18,18.68,91.23,20.55,44.41,8.65,65.58,145.51,62.86,,5.47,16.85,,24.98,,8.96,6.76,10.24,,59537,17.74,18.75,0.94,0.42,26.73,17.91,8.73,27.77,50.40,33.26
Idaho,2014,Idaho2014,"14,920.00","279,502.82",16.02,3.73,3.45,6.61,16.75,28.40,6.69,21.63,65.50,14.43,30.62,20.81,53.97,93.40,55.72,,6.82,21.50,10.04,15.31,,9.48,11.37,11.28,,44418,25.42,16.69,0.40,1.99,0.81,0.14,12.35,83.36,49.18,61.47
Illinois,2014,Illinois2014,"128,644.00","732,412.39",14.99,3.52,3.08,7.84,21.29,30.60,7.78,27.09,64.97,19.44,34.58,12.32,47.47,104.12,63.85,,9.16,20.91,12.61,11.96,,10.29,6.33,11.79,,49491,22.03,17.38,5.06,0.35,1.19,0.04,4.71,87.64,49.93,51.09
Indiana,2014,Indiana2014,"78,120.00","720,262.95",17.20,3.83,3.74,7.62,24.02,31.82,7.65,28.20,62.48,15.53,23.18,16.38,50.09,73.55,60.21,,7.59,20.63,13.54,12.22,,11.35,4.33,14.74,,48152,23.57,15.74,2.67,0.35,0.94,0.05,3.74,91.23,50.23,54.45
Iowa,2014,Iowa2014,"30,480.00","622,519.35",11.59,2.74,2.55,6.55,18.00,30.92,7.95,26.21,71.22,19.84,22.36,10.59,56.93,66.88,65.11,,4.64,16.77,10.80,10.63,,9.86,5.85,8.39,,50829,23.02,18.68,1.24,0.44,1.04,0.08,4.32,92.09,50.20,61.32
Kansas,2014,Kansas2014,"29,774.00","730,423.09",13.09,3.03,2.77,6.98,18.59,32.55,7.09,27.48,58.68,14.64,36.04,15.64,60.56,102.27,61.15,,4.58,18.74,10.59,10.36,,10.80,12.49,11.15,,46648,23.83,18.60,1.88,1.19,0.86,0.08,9.31,85.40,49.75,66.89
Kentucky,2014,Kentucky2014,"63,669.00","1,203,386.56",24.21,5.40,4.81,9.27,28.52,33.18,7.24,31.96,56.69,11.38,28.65,17.48,45.81,104.49,57.08,,9.38,30.61,13.42,13.51,,12.51,4.13,23.94,,39290,22.77,15.86,3.71,0.28,0.53,0.06,2.29,92.01,50.29,71.65
Louisiana,2014,Louisiana2014,"63,167.00","608,051.18",21.66,4.09,3.53,11.09,23.13,36.09,6.73,32.18,57.36,14.91,35.28,19.87,43.05,62.49,57.99,,7.11,31.07,10.95,14.09,,12.96,9.62,14.22,,40933,24.08,14.28,31.67,0.83,0.90,0.05,3.23,62.23,49.94,51.09
Maine,2014,Maine2014,"15,257.00","104,969.42",13.61,3.68,3.74,6.49,19.38,28.87,7.48,22.82,64.21,16.79,35.41,13.33,95.67,313.98,69.70,,7.46,20.92,10.24,15.27,,10.23,3.24,11.29,,44251,19.32,19.17,0.87,0.86,0.82,0.03,1.31,94.76,50.89,74.19
Maryland,2014,Maryland2014,"59,223.00","159,821.02",13.63,3.28,3.38,8.40,17.83,30.05,8.24,24.66,84.52,16.16,34.46,11.39,69.08,157.27,65.69,,7.17,17.03,12.48,16.09,,10.48,3.93,13.12,,66416,21.89,15.61,19.91,0.44,3.29,0.09,5.46,69.12,50.86,34.60
Massachusetts,2014,Massachusetts2014,"57,642.00","72,881.90",11.80,3.23,3.29,7.26,15.45,23.20,8.40,20.31,91.41,20.51,28.17,4.73,96.25,463.86,73.23,,7.17,16.26,10.40,19.89,,8.51,4.63,12.64,,63033,19.93,16.19,5.57,0.51,3.88,0.08,8.77,79.81,51.40,16.75
Michigan,2014,Michigan2014,"115,749.00","577,709.01",15.23,3.79,3.77,7.25,22.10,32.22,7.52,23.42,73.86,19.93,34.31,14.32,60.60,126.83,67.94,,10.02,25.32,11.65,15.08,,11.32,5.41,12.84,,43544,20.68,19.21,3.88,1.68,0.98,0.03,3.28,88.53,49.71,61.64
Minnesota,2014,Minnesota2014,"43,953.00","488,426.26",11.46,2.84,2.75,5.89,17.84,28.38,8.22,22.48,67.14,20.81,34.39,9.95,67.93,98.24,67.95,,5.46,15.64,12.29,12.48,,8.65,7.89,7.75,,53417,23.12,18.07,1.41,2.18,1.40,0.06,4.03,89.69,49.88,61.34
Mississippi,2014,Mississippi2014,"45,290.00","885,021.73",23.31,4.37,4.15,12.48,23.08,36.68,5.28,34.01,45.09,10.90,19.89,20.58,41.21,70.55,54.81,,10.06,38.03,12.16,16.39,,14.53,10.17,11.88,,34831,24.20,15.04,40.81,0.68,0.55,0.05,2.38,54.79,50.96,70.63
Missouri,2014,Missouri2014,"74,293.00","969,190.37",19.03,4.20,4.04,7.55,25.42,32.09,6.99,29.51,55.50,17.30,33.51,18.13,45.42,84.30,58.03,,6.49,27.46,10.18,12.83,,11.53,7.71,14.96,,40468,22.93,17.91,3.56,0.61,0.70,0.10,2.67,90.97,50.16,66.80
Montana,2014,Montana2014,"11,257.00","353,960.29",14.03,3.30,3.05,7.76,18.67,26.52,6.39,25.85,50.74,19.25,44.44,23.91,63.71,127.76,60.48,,5.67,22.40,10.90,13.39,,8.86,17.55,15.89,,43452,21.60,19.59,0.33,8.02,0.48,0.05,2.55,86.95,49.23,75.12
Nebraska,2014,Nebraska2014,"16,862.00","438,338.10",11.99,2.74,2.54,6.52,16.33,30.59,7.04,28.36,51.94,18.81,36.45,14.54,56.22,82.62,59.02,,3.66,18.33,11.70,10.31,,9.47,15.49,5.69,,47722,23.10,20.05,0.78,1.69,0.57,0.08,6.14,90.15,49.86,74.65
Nevada,2014,Nevada2014,"31,710.00","124,195.30",16.72,4.18,3.79,7.90,21.73,26.74,6.89,22.17,53.70,18.57,29.10,23.64,48.80,98.96,51.10,,8.99,19.71,12.16,15.38,,8.87,11.94,22.12,,53656,21.68,17.73,2.58,4.19,2.21,0.31,17.49,72.13,47.27,49.50
New Hampshire,2014,New Hampshire2014,"12,713.00","56,398.98",12.43,3.37,3.56,6.80,17.67,27.43,8.53,21.34,85.27,17.20,32.98,14.03,95.17,240.68,70.25,,5.15,13.46,10.46,16.06,,9.40,3.86,12.76,,57388,19.38,17.33,0.92,0.32,1.80,0.03,2.19,93.47,50.56,55.37
New Jersey,2014,New Jersey2014,"81,695.00","122,967.66",14.80,3.40,3.33,8.22,16.65,25.33,8.07,24.30,93.78,16.40,26.81,13.81,78.88,133.91,60.74,,8.48,16.09,11.24,21.59,,9.29,4.41,9.98,,70419,22.52,14.89,11.54,0.57,6.98,0.09,16.30,63.67,51.03,12.76
New Mexico,2014,New Mexico2014,"23,674.00","284,077.10",18.85,4.10,3.74,9.30,20.30,25.58,5.74,23.10,67.01,14.18,30.69,22.08,61.97,367.75,53.31,,6.95,33.22,9.92,15.84,,9.08,18.02,23.27,,40050,22.81,18.34,1.28,8.58,1.07,0.13,46.65,42.89,49.36,48.42
New York,2014,New York2014,"177,285.00","371,546.01",14.36,3.65,3.50,7.34,19.91,27.45,8.16,23.95,76.73,17.72,26.72,11.14,62.28,158.94,65.13,,7.67,21.88,11.62,17.02,,9.95,4.28,8.47,,52588,20.90,16.23,5.90,0.70,2.78,0.07,7.37,82.01,50.25,44.29
North Carolina,2014,North Carolina2014,"113,459.00","814,316.63",20.11,3.99,3.65,9.30,22.85,30.61,6.66,27.49,67.51,13.13,30.23,20.13,53.70,129.43,67.56,,8.80,29.56,12.37,16.21,,12.10,5.32,15.39,,41649,21.69,17.49,20.32,1.91,1.20,0.10,6.90,68.59,50.84,61.20
North Dakota,2014,North Dakota2014,"6,106.00","289,844.21",12.02,2.58,2.46,6.56,18.85,30.83,8.07,28.85,49.43,22.40,47.64,13.79,59.41,109.87,66.81,,3.49,13.82,10.04,9.23,,10.00,15.15,5.75,,55367,22.15,19.67,0.61,6.76,0.50,0.04,2.47,88.64,48.81,82.56
Ohio,2014,Ohio2014,"141,807.00","663,447.53",16.41,3.97,3.91,7.86,23.25,31.70,7.41,28.44,68.66,17.33,34.52,13.64,51.98,80.71,58.86,,7.88,22.22,13.49,13.25,,11.69,4.99,14.04,,47454,23.07,16.16,4.14,0.28,0.91,0.04,2.47,90.74,50.41,48.22
Oklahoma,2014,Oklahoma2014,"53,892.00","773,840.02",19.97,4.44,4.31,7.93,24.66,33.67,6.64,32.95,52.96,12.33,31.71,22.47,42.63,255.53,53.07,,5.42,25.08,10.24,11.79,,12.65,10.93,18.47,,42804,24.07,16.85,3.54,11.07,0.81,0.13,8.32,71.88,49.89,63.64
Oregon,2014,Oregon2014,"40,126.00","219,803.08",14.86,3.73,3.15,6.42,18.29,27.90,6.75,18.31,77.41,16.21,31.01,18.82,73.50,229.27,60.48,,8.70,25.37,9.02,17.81,,9.72,9.93,12.97,,45268,21.11,19.60,0.69,2.46,1.71,0.29,11.35,81.66,50.06,44.37
Pennsylvania,2014,Pennsylvania2014,"146,214.00","474,728.30",15.19,3.66,3.65,7.60,21.52,30.78,7.89,25.51,73.08,17.04,34.35,11.98,68.31,104.26,64.15,,7.64,19.75,12.82,13.12,,10.99,4.62,12.85,,48864,20.34,18.04,4.34,0.26,1.38,0.04,3.87,89.11,50.08,47.43
Rhode Island,2014,Rhode Island2014,"10,187.00","26,142.41",11.28,3.28,3.36,7.07,15.18,23.92,7.50,21.66,93.07,19.76,41.51,10.64,106.07,255.72,69.33,,8.81,14.56,10.25,17.69,,8.30,7.33,14.33,,63169,19.56,17.11,3.01,0.63,2.40,0.10,6.90,85.57,51.55,11.51
South Carolina,2014,South Carolina2014,"63,393.00","435,719.27",18.71,3.89,3.82,10.83,20.75,34.93,6.37,28.40,58.30,13.14,41.01,20.20,49.79,90.19,65.46,,9.01,33.00,12.58,15.54,,13.63,6.44,11.72,,39359,22.20,16.49,35.71,0.63,0.90,0.09,4.40,57.25,50.92,54.98
South Dakota,2014,South Dakota2014,"7,948.00","429,267.67",12.22,2.79,2.56,6.42,18.81,31.73,6.38,27.82,48.71,19.27,35.30,15.57,60.62,124.25,65.60,,4.38,21.51,11.08,12.37,,10.10,19.57,7.27,,46219,24.84,18.05,0.72,14.04,0.60,0.05,2.63,80.77,49.42,78.17
Tennessee,2014,Tennessee2014,"90,439.00","944,980.87",22.84,4.97,3.79,8.84,25.96,32.51,7.18,33.41,53.71,9.30,30.46,16.82,47.98,62.90,59.02,,9.44,29.06,13.75,13.79,,12.80,5.14,19.51,,40069,22.00,17.36,7.28,0.44,0.69,0.06,3.26,87.12,50.49,66.44
Texas,2014,Texas2014,"249,144.00","1,817,782.53",20.32,4.04,3.64,8.51,21.75,29.94,6.46,27.32,57.69,16.71,27.06,25.83,40.76,44.52,54.37,,6.04,26.84,9.47,14.13,,10.80,10.96,10.78,,45594,24.45,16.69,6.26,1.14,1.11,0.08,33.56,57.59,49.22,55.52
Utah,2014,Utah2014,"20,202.00","172,554.67",12.88,3.37,3.20,7.19,11.60,25.49,6.71,19.91,67.31,9.55,24.55,17.08,51.11,181.38,56.51,,5.36,17.34,11.54,13.64,,8.12,10.89,18.88,,53844,30.16,13.41,0.47,3.27,0.99,0.35,8.79,85.44,49.17,48.35
Vermont,2014,Vermont2014,"6,365.00","82,486.60",11.55,3.31,3.49,6.75,17.57,25.61,8.07,19.71,71.57,19.36,38.08,8.44,86.69,298.25,69.46,,4.72,17.18,10.76,16.51,,8.03,3.39,10.90,,49504,19.68,17.42,0.79,0.46,0.93,0.03,1.57,94.67,50.41,75.37
Virginia,2014,Virginia2014,"81,659.00","1,036,490.41",16.38,3.56,3.50,8.75,21.53,30.16,7.85,25.31,66.58,15.46,31.95,16.05,66.27,117.99,63.55,,6.59,21.53,12.60,14.55,,11.34,5.21,12.01,,51658,20.65,17.18,18.59,0.50,2.01,0.08,4.94,72.32,50.66,51.99
Washington,2014,Washington2014,"62,625.00","242,095.77",16.01,3.90,3.44,6.07,17.07,29.21,6.98,20.53,76.07,16.06,39.47,17.99,67.74,177.54,61.96,,8.62,22.76,10.90,17.30,,9.76,8.97,15.02,,49234,22.07,18.07,1.32,2.95,2.71,0.33,13.55,77.23,49.87,44.79
West Virginia,2014,West Virginia2014,"30,432.00","533,657.92",21.67,4.83,4.21,9.13,26.72,34.22,7.34,33.85,52.44,10.89,35.13,18.44,58.15,59.78,57.33,,7.34,28.02,13.25,10.58,,13.25,5.70,26.15,,38756,20.27,18.32,2.27,0.25,0.47,0.03,1.21,94.64,50.14,69.20
Wisconsin,2014,Wisconsin2014,"55,390.00","436,545.28",12.07,3.14,2.85,6.24,19.09,29.66,8.07,22.10,68.51,24.84,38.74,11.24,70.71,102.23,69.00,,7.26,18.91,11.58,14.12,,9.11,5.67,9.60,,49288,21.86,17.87,1.57,2.97,1.22,0.04,3.45,89.79,49.66,60.11
Wyoming,2014,Wyoming2014,"6,328.00","168,322.60",12.30,3.17,3.15,8.10,18.57,25.53,7.70,23.92,65.37,16.77,36.05,17.73,66.05,212.80,54.50,,4.69,13.73,11.21,11.34,,8.27,7.42,14.64,,56855,23.00,15.57,1.20,2.09,0.77,0.08,8.34,86.62,49.00,50.53
Alabama,2013,Alabama2013,"70,721.00","697,635.99",23.28,4.66,4.44,10.55,22.43,35.08,6.66,33.55,33.68,11.68,30.11,17.42,42.93,35.21,60.53,,8.57,32.15,12.79,14.47,,14.08,7.27,10.34,,37055,22.95,16.03,28.31,0.78,0.65,0.11,3.32,65.89,51.31,67.09
Alaska,2013,Alaska2013,"6,686.00","197,984.59",14.96,3.43,2.60,5.55,27.37,30.07,6.39,24.19,69.82,21.27,54.02,27.79,81.50,203.58,54.39,,9.77,18.73,,27.45,,7.34,15.65,16.94,,56067,25.25,9.15,1.33,33.87,5.48,0.54,4.04,48.62,45.76,74.75
Arizona,2013,Arizona2013,"63,658.00","127,686.26",18.25,3.96,3.89,7.27,18.49,27.81,5.84,23.67,34.31,15.44,27.17,20.54,51.48,57.38,56.24,,11.41,30.76,9.91,19.97,,10.08,14.93,13.85,,41641,24.51,17.74,1.73,14.55,1.33,0.19,30.03,52.42,49.61,34.11
Arkansas,2013,Arkansas2013,"41,697.00","759,258.15",22.17,4.53,4.28,9.41,24.43,33.62,6.41,32.70,43.82,12.39,30.17,20.98,46.75,93.61,55.24,,8.22,32.70,11.75,13.88,,12.45,9.15,12.19,,35727,23.13,17.47,15.85,0.81,0.69,0.08,4.72,76.71,50.61,64.87
California,2013,California2013,"303,365.00","365,842.15",18.17,3.91,3.84,6.28,14.97,24.22,7.21,17.61,75.06,18.77,31.88,18.96,67.38,155.64,61.01,,12.25,23.67,8.80,24.40,,8.08,6.06,14.56,,52687,23.04,14.80,3.08,3.05,7.13,0.37,28.85,56.74,49.37,28.70
Colorado,2013,Colorado2013,"42,588.00","371,494.61",14.50,3.26,3.09,9.58,17.95,20.68,7.49,18.62,63.21,17.91,29.83,19.88,72.36,106.16,59.34,,7.58,22.02,12.66,16.15,,6.31,9.87,12.94,,49646,21.29,15.84,1.44,1.88,1.16,0.10,19.14,76.07,48.04,58.68
Connecticut,2013,Connecticut2013,"30,727.00","42,663.31",10.51,3.01,3.06,7.58,15.59,24.35,8.35,22.21,87.44,18.71,35.23,9.29,72.13,190.61,68.77,,8.20,12.61,10.48,16.53,,8.29,4.53,10.41,,67413,21.24,14.99,6.37,0.47,3.37,0.09,10.22,78.24,50.85,24.17
Delaware,2013,Delaware2013,"10,352.00","23,297.30",13.43,3.43,3.37,8.63,19.13,30.13,8.31,25.50,68.06,18.53,42.09,11.66,63.92,125.89,69.16,,7.20,21.77,11.90,15.50,,10.60,5.41,11.14,,54155,22.30,16.60,19.79,0.82,2.63,0.09,7.96,67.09,51.55,24.29
District of Columbia,2013,District of Columbia2013,"7,823.00","9,869.94",12.20,2.90,2.90,10.70,15.70,21.00,8.14,18.70,100.00,19.60,29.46,8.28,117.15,321.48,63.46,,8.94,29.30,12.65,21.74,,8.10,0.95,11.99,,65231,17.31,11.37,49.34,0.54,3.72,0.15,9.58,35.19,52.70,0.00
Florida,2013,Florida2013,"215,623.00","563,072.09",18.75,4.29,4.06,8.56,20.39,29.78,7.05,26.81,54.82,14.80,33.83,23.24,50.15,74.66,64.24,,8.62,28.79,11.46,17.96,,11.60,8.30,15.12,,42002,20.29,19.29,14.18,0.69,1.56,0.09,12.79,69.58,48.58,37.50
Georgia,2013,Georgia2013,"108,939.00","1,446,643.66",19.15,4.08,3.70,10.23,21.16,31.16,6.73,28.36,40.84,13.97,24.56,22.34,47.19,40.01,59.80,,10.06,33.05,12.83,15.77,,12.35,7.22,11.78,,39549,23.89,14.66,27.72,0.45,1.15,0.10,5.94,63.74,50.34,60.49
Hawaii,2013,Hawaii2013,"11,972.00","24,305.09",14.43,3.10,2.93,7.93,16.10,23.06,7.45,19.00,85.01,20.55,46.14,9.40,67.27,116.63,59.96,,6.80,19.25,,23.95,,9.16,6.76,9.10,,58681,17.66,18.23,0.76,0.38,27.06,18.19,8.28,27.74,50.53,33.26
Idaho,2013,Idaho2013,"14,238.00","276,733.51",16.02,3.73,3.45,6.62,16.75,27.64,6.84,22.66,46.43,14.43,31.46,21.73,52.51,69.57,54.61,,7.59,23.21,10.04,14.89,,9.43,11.37,10.56,,43438,25.68,16.10,0.36,1.89,0.73,0.13,12.01,84.02,49.10,61.47
Illinois,2013,Illinois2013,"128,799.00","728,533.13",14.99,3.52,3.08,7.79,21.29,29.86,8.11,27.86,59.15,19.44,34.86,12.51,48.12,76.83,63.64,,8.82,20.22,12.61,11.65,,9.67,6.33,10.40,,48904,22.24,17.02,4.94,0.34,1.09,0.04,4.47,88.20,49.99,51.09
Indiana,2013,Indiana2013,"75,409.00","705,695.63",17.20,3.83,3.74,7.71,24.02,31.70,8.00,29.33,51.35,15.53,23.36,16.48,49.69,67.02,60.28,,8.48,20.62,13.54,11.94,,10.95,4.33,13.16,,47461,23.78,15.36,2.56,0.33,0.85,0.04,3.53,91.74,50.27,54.45
Iowa,2013,Iowa2013,"30,046.00","611,715.86",11.59,2.74,2.55,6.63,18.00,30.52,8.20,27.19,66.33,19.84,20.09,11.14,56.77,60.31,65.47,,5.20,16.99,10.80,10.54,,9.19,5.85,7.48,,49164,23.14,18.42,1.12,0.40,0.93,0.07,4.03,92.72,50.26,61.32
Kansas,2013,Kansas2013,"28,768.00","679,786.19",13.09,3.03,2.77,6.96,18.59,32.37,7.42,27.83,51.71,14.64,34.10,16.05,61.07,80.84,61.87,,4.82,18.88,10.59,10.13,,10.57,12.49,10.21,,45830,23.77,18.40,1.81,1.11,0.77,0.07,8.80,86.23,49.95,66.89
Kentucky,2013,Kentucky2013,"61,248.00","1,178,863.81",24.21,5.40,4.81,9.33,28.52,33.50,7.49,33.09,45.24,11.38,28.56,17.91,44.82,79.42,56.12,,9.09,30.87,13.42,13.17,,12.60,4.13,20.87,,38325,23.04,15.42,3.61,0.26,0.48,0.05,2.14,92.41,50.31,71.65
Louisiana,2013,Louisiana2013,"62,429.00","644,158.99",21.66,4.09,3.53,11.23,23.13,35.55,7.01,32.24,41.26,14.91,38.01,20.49,42.45,44.08,57.64,,7.41,31.12,10.95,14.17,,12.67,9.62,14.92,,39773,24.28,13.95,31.75,0.80,0.83,0.05,2.97,62.60,50.03,51.09
Maine,2013,Maine2013,"14,833.00","104,388.64",13.61,3.68,3.74,6.61,19.38,28.82,7.87,23.63,49.32,16.79,33.63,13.82,95.94,229.61,70.43,,8.13,22.55,10.24,14.84,,10.16,3.24,11.39,,43780,19.67,18.42,0.81,0.82,0.79,0.03,1.18,95.08,50.92,74.19
Maryland,2013,Maryland2013,"59,532.00","167,896.49",13.63,3.28,3.38,8.38,17.83,29.78,8.60,25.63,76.16,16.16,33.96,11.72,68.80,120.51,65.94,,7.52,17.25,12.48,15.41,,10.27,3.93,12.15,,65636,22.10,15.10,19.84,0.41,3.10,0.08,5.11,69.83,50.92,34.60
Massachusetts,2013,Massachusetts2013,"56,889.00","76,406.46",11.80,3.23,3.29,7.31,15.45,23.39,8.65,21.50,81.70,20.51,27.57,5.35,95.49,398.40,72.72,,6.84,15.96,10.40,19.54,,8.63,4.63,12.23,,61592,20.22,15.69,5.42,0.49,3.68,0.08,8.20,80.83,51.46,16.75
Michigan,2013,Michigan2013,"113,483.00","581,065.41",15.23,3.79,3.77,7.23,22.10,32.06,7.81,24.50,65.84,19.93,35.09,14.65,61.63,98.29,67.87,,9.73,25.14,11.65,15.00,,11.07,5.41,11.96,,42843,20.95,18.65,3.80,1.64,0.91,0.03,3.10,88.99,49.78,61.64
Minnesota,2013,Minnesota2013,"42,774.00","488,903.04",11.46,2.84,2.75,6.00,17.84,28.44,8.45,23.07,59.65,20.81,35.48,10.91,67.72,71.11,68.63,,5.91,15.70,12.29,12.13,,8.47,7.89,6.88,,51640,23.21,17.72,1.31,2.09,1.32,0.05,3.74,90.32,49.91,61.34
Mississippi,2013,Mississippi2013,"44,443.00","905,847.21",23.31,4.37,4.15,12.44,23.08,36.70,5.66,34.46,35.97,10.90,18.96,21.59,41.67,59.35,54.60,,10.49,37.58,12.16,16.56,,14.07,10.17,11.02,,33894,24.63,14.66,40.69,0.66,0.50,0.04,2.25,55.19,51.15,70.63
Missouri,2013,Missouri2013,"72,878.00","981,780.38",19.03,4.20,4.04,7.57,25.42,32.01,7.31,30.29,46.66,17.30,32.47,18.27,45.40,57.43,57.51,,7.10,26.76,10.18,12.47,,10.91,7.71,13.64,,39595,23.09,17.54,3.47,0.57,0.63,0.09,2.46,91.49,50.23,66.80
Montana,2013,Montana2013,"10,954.00","342,888.93",14.03,3.30,3.05,7.64,18.67,26.21,6.62,27.25,40.83,19.25,46.02,24.05,60.04,77.12,60.51,,5.80,23.09,10.90,13.23,,8.59,17.55,15.39,,40977,21.63,19.24,0.27,7.88,0.43,0.05,2.24,87.62,49.24,75.12
Nebraska,2013,Nebraska2013,"16,402.00","470,408.23",11.99,2.74,2.54,6.63,16.33,30.57,7.41,29.71,41.19,18.81,36.67,15.18,55.36,68.40,59.78,,3.58,18.52,11.70,10.27,,9.50,15.49,6.84,,46320,23.21,19.80,0.69,1.60,0.51,0.07,5.66,90.94,49.98,74.65
Nevada,2013,Nevada2013,"30,737.00","119,200.36",16.72,4.18,3.79,7.98,21.73,27.22,7.13,23.44,45.07,18.57,29.27,23.20,49.68,69.65,52.09,,9.75,19.44,12.16,15.29,,8.95,11.94,19.83,,51964,22.02,17.15,2.11,4.06,2.03,0.27,16.78,73.63,47.45,49.50
New Hampshire,2013,New Hampshire2013,"12,150.00","57,787.89",12.43,3.37,3.56,6.77,17.67,27.04,8.85,22.24,73.36,17.20,32.79,14.00,95.37,204.14,70.68,,5.49,16.14,10.46,16.02,,8.95,3.86,11.66,,56768,19.67,16.61,0.78,0.29,1.70,0.03,1.95,94.04,50.55,55.37
New Jersey,2013,New Jersey2013,"80,137.00","124,006.27",14.80,3.40,3.33,8.22,16.65,25.26,8.31,25.06,87.05,16.40,28.20,14.06,78.76,109.66,60.51,,9.84,14.66,11.24,20.87,,9.05,4.41,8.56,,69624,22.70,14.51,11.53,0.55,6.67,0.08,15.63,64.72,51.09,12.76
New Mexico,2013,New Mexico2013,"22,920.00","275,305.27",18.85,4.10,3.74,9.35,20.30,25.40,5.98,23.84,58.34,14.18,31.13,23.45,60.52,314.20,52.54,,6.94,32.02,9.92,15.52,,8.66,18.02,21.10,,38850,23.07,17.76,1.21,8.34,1.02,0.12,46.04,43.83,49.49,48.42
New York,2013,New York2013,"177,032.00","367,633.58",14.36,3.65,3.50,7.46,19.91,27.40,8.61,24.61,67.97,17.72,27.85,11.53,62.08,134.65,65.09,,8.63,20.94,11.62,16.62,,9.59,4.28,6.33,,52311,21.13,15.76,5.80,0.67,2.64,0.06,7.05,82.65,50.33,44.29
North Carolina,2013,North Carolina2013,"110,107.00","830,394.77",20.11,3.99,3.65,9.39,22.85,30.37,6.99,27.89,56.15,13.13,31.17,19.77,53.15,102.71,67.24,,10.30,29.72,12.37,15.62,,11.94,5.32,14.33,,40674,21.95,16.88,20.45,1.86,1.10,0.09,6.62,68.95,50.83,61.20
North Dakota,2013,North Dakota2013,"5,919.00","270,520.86",12.02,2.58,2.46,6.57,18.85,31.33,8.29,30.40,41.36,22.40,47.33,13.19,56.99,68.15,67.39,,3.62,15.33,10.04,9.30,,9.53,15.15,5.64,,51087,21.67,19.86,0.44,6.79,0.41,0.04,1.76,89.66,49.12,82.56
Ohio,2013,Ohio2013,"138,370.00","656,653.51",16.41,3.97,3.91,7.96,23.25,31.29,7.67,28.92,59.42,17.33,34.93,14.11,52.44,57.48,59.09,,7.76,22.92,13.49,13.13,,11.16,4.99,12.11,,46372,23.25,15.75,4.08,0.26,0.85,0.03,2.31,91.13,50.48,48.22
Oklahoma,2013,Oklahoma2013,"52,753.00","792,184.81",19.97,4.44,4.31,8.06,24.66,33.39,7.03,33.79,38.74,12.33,32.99,22.92,42.69,176.91,53.06,,5.08,25.06,10.24,11.66,,12.27,10.93,16.87,,41312,24.05,16.63,3.46,10.95,0.73,0.11,7.78,72.81,49.92,63.64
